Session,Type,Date,Time,Location,Status
Part 3,Session,2022-10-3,10.45-11.45,"3mE Hall I, 34.D-1-200",Complete
Part 3,Session,2022-10-3,15.00-16.00,Online,Complete
Part 3,Session,2022-10-5,11.00-12.00,Online,Cancelled
Part 3,Session,2022-10-5,14.45-15.45,"3mE Hall I, 34.D-1-200",Complete
Part 3,Session,2022-10-7,15.00-16.00,Online,Complete
Part 3,Session,2022-10-13,11.00-12.00,Online,Cancelled
Part 3,Session,2022-11-10,11.00-12.00,Online,Cancelled
Part 3,Session,2022-10-13,14.45-15.45,"3mE Hall I, 34.D-1-200",Complete
Part 3,Session,2022-11-10,14.45-15.45,"3mE Hall F - Simon Stevin, 34.A-0-610",Complete
Part 1,Lecture,2022-10-31,14.45-16.45,"3mE Hall F - Simon Stevin, 34.A-0-610",Complete
Part 1,Lecture,2023-01-25,10.00-12.30,"3mE Hall J, 34.D-1-300",Complete
Part 3,Lecture,2023-02-20,13.45-14.45,"3mE Hall E - Robert Hooke, 34.A-0-710",Open
Part 3,Session,2023-02-27,11.00-12.00,"Online",Open
Part 3,Session,2023-02-27,13.45-14.45,"3mE Hall E - Robert Hooke, 34.A-0-710",Open
Part 3,Session,2023-03-01,11.00-12.00,"Online",Open
Part 3,Session,2023-03-06,13.45-14.45,"3mE Hall E - Robert Hooke, 34.A-0-710",Open
